unified_dataset,metric,metric_label,model_A,model_B,n_pairs,wilcoxon_stat,wilcoxon_p,cohens_dz,mean_diff_A_minus_B,ci95_low,ci95_high
CASP,rmsd,RMSD,O-Physico,N-Physico,28,121.5,0.2699258622584586,-0.2747378110977208,-0.15642857142857133,-0.36751785714285695,0.04858035714285716
CASP,rmsd,RMSD,O-Physico,ESMFold,28,116.0,0.04774715006351471,-0.39279419214354233,-0.5478571428571429,-1.0410892857142857,-0.039276785714285764
CASP,rmsd,RMSD,O-Physico,Baseline,28,12.0,5.21540641784668e-07,-1.0647378485096335,-2.017857142857143,-2.696821428571429,-1.3374910714285715
CASP,rmsd,RMSD,O-Physico,jackhmmer,28,133.5,0.18234157573188936,-0.1987498967311894,-0.12392857142857142,-0.34929464285714273,0.0964374999999999
CASP,rmsd,RMSD,N-Physico,ESMFold,28,133.0,0.11451615393161774,-0.29512385790553664,-0.39142857142857146,-0.8732321428571429,0.08432142857142798
CASP,rmsd,RMSD,N-Physico,Baseline,28,29.0,7.417381877684718e-05,-0.9969134140027915,-1.8614285714285714,-2.556785714285714,-1.1985714285714286
CASP,rmsd,RMSD,N-Physico,jackhmmer,28,195.0,0.8554435936093876,0.03364648785139904,0.032499999999999925,-0.32285714285714284,0.3789553571428568
CASP,rmsd,RMSD,ESMFold,Baseline,28,54.0,0.0003418475389480591,-0.7731109550984907,-1.4699999999999995,-2.1743035714285712,-0.7885625
CASP,rmsd,RMSD,ESMFold,jackhmmer,28,97.0,0.015774831656496874,0.31999742544602405,0.4239285714285715,-0.09541071428571396,0.8710982142857138
CASP,rmsd,RMSD,Baseline,jackhmmer,28,40.0,6.318092346191406e-05,0.9139781638457048,1.8939285714285712,1.149982142857143,2.6365178571428554
CASP,tm_score_chain1_norm,TM-score,O-Physico,N-Physico,28,159.0,0.9249707861129906,0.1655467097121492,0.02194428571428571,-0.024072214285714297,0.07287480357142856
CASP,tm_score_chain1_norm,TM-score,O-Physico,ESMFold,28,106.0,0.026356667280197144,0.32833457072097866,0.07692285714285715,-0.012424883928571436,0.15882464285714282
CASP,tm_score_chain1_norm,TM-score,O-Physico,Baseline,28,33.0,2.380460500717163e-05,1.061880923329548,0.28456571428571426,0.1852497142857143,0.3810055714285715
CASP,tm_score_chain1_norm,TM-score,O-Physico,jackhmmer,28,152.0,0.25451332330703735,0.29930249378822793,0.03150285714285715,-0.006138946428571413,0.07236367857142856
CASP,tm_score_chain1_norm,TM-score,N-Physico,ESMFold,28,131.0,0.10417398810386658,0.2835847373830064,0.054978571428571425,-0.012524499999999985,0.1270044196428571
CASP,tm_score_chain1_norm,TM-score,N-Physico,Baseline,28,23.0,4.76837158203125e-06,1.0039638983445518,0.26262142857142856,0.16630952678571426,0.35783260714285703
CASP,tm_score_chain1_norm,TM-score,N-Physico,jackhmmer,28,197.0,0.9018996506929398,0.0809453878284831,0.009558571428571435,-0.0325694732142857,0.05337842857142855
CASP,tm_score_chain1_norm,TM-score,ESMFold,Baseline,28,38.0,4.830211400985718e-05,0.8325592021281527,0.20764285714285716,0.1176464642857143,0.29844567857142856
CASP,tm_score_chain1_norm,TM-score,ESMFold,jackhmmer,28,107.0,0.028050199151039124,-0.23091627890959826,-0.045419999999999995,-0.11538929464285708,0.025814348214285705
CASP,tm_score_chain1_norm,TM-score,Baseline,jackhmmer,28,41.0,7.204711437225342e-05,-0.9341535179138278,-0.25306285714285714,-0.3519555714285714,-0.15554635714285717
CASP,Maxsub,MaxSub,O-Physico,N-Physico,28,161.0,0.9678043704707936,0.07070600730628614,0.0073535714285714315,-0.030323392857142844,0.04642223214285712
CASP,Maxsub,MaxSub,O-Physico,ESMFold,28,132.0,0.10925160348415375,0.2383769450978075,0.06215357142857143,-0.03616660714285711,0.15377848214285708
CASP,Maxsub,MaxSub,O-Physico,Baseline,28,41.0,7.204711437225342e-05,0.9784032729448578,0.28816785714285714,0.18200767857142858,0.39538133928571423
CASP,Maxsub,MaxSub,O-Physico,jackhmmer,28,129.5,0.09417898280535138,0.12187215323614738,0.013510714285714284,-0.02948660714285715,0.05283499999999997
CASP,Maxsub,MaxSub,N-Physico,ESMFold,28,145.0,0.1935620754957199,0.24204198987773387,0.054799999999999995,-0.024008660714285705,0.13787714285714284
CASP,Maxsub,MaxSub,N-Physico,Baseline,28,42.0,8.20159912109375e-05,0.9706337480482817,0.2808142857142857,0.17675026785714287,0.38580062499999995
CASP,Maxsub,MaxSub,N-Physico,jackhmmer,28,172.0,0.49323366582393646,0.0477401754238469,0.006157142857142853,-0.04120812500000001,0.05329821428571425
CASP,Maxsub,MaxSub,ESMFold,Baseline,28,53.0,0.0003059804439544678,0.7913550887538714,0.22601428571428572,0.12297419642857144,0.33052428571428566
CASP,Maxsub,MaxSub,ESMFold,jackhmmer,28,119.0,0.05638675391674042,-0.2205268608339765,-0.04864285714285714,-0.12624749999999996,0.03310348214285709
CASP,Maxsub,MaxSub,Baseline,jackhmmer,28,41.0,7.204711437225342e-05,-0.9043111867421838,-0.2746571428571429,-0.385394375,-0.16700866071428583
CASP,GDT_TS,GDT-TS,O-Physico,N-Physico,28,103.0,0.6639467218840869,0.11685374643770872,0.01275,-0.025576428571428562,0.05455446428571427
CASP,GDT_TS,GDT-TS,O-Physico,ESMFold,28,123.0,0.06981273740530014,0.3038796671946123,0.07518928571428571,-0.01809749999999998,0.16337517857142853
CASP,GDT_TS,GDT-TS,O-Physico,Baseline,28,40.0,6.318092346191406e-05,0.9973491792571911,0.2854785714285714,0.18014232142857145,0.38894366071428554
CASP,GDT_TS,GDT-TS,O-Physico,jackhmmer,28,113.5,0.06968498286362566,0.2372623509432262,0.02425357142857142,-0.011673303571428578,0.0636729464285714
CASP,GDT_TS,GDT-TS,N-Physico,ESMFold,28,133.5,0.11349778977426829,0.2979800601938264,0.06243928571428571,-0.00959732142857141,0.1394241964285714
CASP,GDT_TS,GDT-TS,N-Physico,Baseline,28,36.0,3.663450479507446e-05,0.9719197830422511,0.2727285714285714,0.17100839285714284,0.37449535714285703
CASP,GDT_TS,GDT-TS,N-Physico,jackhmmer,28,168.0,0.613892513437776,0.10325308669469854,0.011503571428571419,-0.027201875,0.05326348214285704
CASP,GDT_TS,GDT-TS,ESMFold,Baseline,28,46.0,0.0005910276532572635,0.7689095204543248,0.21028928571428573,0.111853125,0.31046089285714285
CASP,GDT_TS,GDT-TS,ESMFold,jackhmmer,28,118.0,0.053377434611320496,-0.2453698136222771,-0.050935714285714306,-0.12464973214285713,0.025027678571428475
CASP,GDT_TS,GDT-TS,Baseline,jackhmmer,28,44.0,0.00010570138692855835,-0.9030056766987223,-0.261225,-0.36620598214285704,-0.1579266964285715
CASP,GDT_TA,GDT-HA,O-Physico,N-Physico,28,131.0,0.8314013177040228,0.09395333998483225,0.007228571428571436,-0.019789375000000005,0.03715098214285713
CASP,GDT_TA,GDT-HA,O-Physico,ESMFold,28,113.0,0.06786533759908721,0.28340313118785637,0.059699999999999996,-0.01960267857142856,0.13423169642857138
CASP,GDT_TA,GDT-HA,O-Physico,Baseline,28,47.0,0.00015273690223693848,0.9779766263502525,0.24786071428571432,0.15711642857142855,0.3408752678571429
CASP,GDT_TA,GDT-HA,O-Physico,jackhmmer,28,136.5,0.2071635218614466,0.1721724409083232,0.013503571428571424,-0.014839553571428576,0.042636339285714274
CASP,GDT_TA,GDT-HA,N-Physico,ESMFold,28,140.0,0.156909741461277,0.2746205549558765,0.05247142857142855,-0.013760535714285716,0.12216249999999998
CASP,GDT_TA,GDT-HA,N-Physico,Baseline,28,41.0,7.204711437225342e-05,0.9548527458202776,0.24063214285714288,0.14963473214285714,0.332484732142857
CASP,GDT_TA,GDT-HA,N-Physico,jackhmmer,28,142.0,0.581228130412935,0.06971810484736161,0.006274999999999994,-0.02534955357142856,0.03931124999999997
CASP,GDT_TA,GDT-HA,ESMFold,Baseline,28,54.0,0.0003418475389480591,0.7800711912519853,0.1881607142857143,0.10211107142857151,0.2771786607142856
CASP,GDT_TA,GDT-HA,ESMFold,jackhmmer,28,106.0,0.026356667280197144,-0.25049671932524364,-0.046196428571428576,-0.11089151785714287,0.022693392857142853
CASP,GDT_TA,GDT-HA,Baseline,jackhmmer,28,32.0,0.00016199305378074129,-0.9130470719625956,-0.2343571428571429,-0.32754419642857147,-0.14373910714285715
CASP-domain,rmsd,RMSD,O-Physico,N-Physico,42,288.0,0.04090922011509616,-0.3654310954490141,-0.16619047619047614,-0.30192261904761886,-0.0321309523809525
CASP-domain,rmsd,RMSD,O-Physico,ESMFold,42,256.0,0.023743325999063036,-0.31866342605816433,-0.374047619047619,-0.725267857142857,-0.024994047619047687
CASP-domain,rmsd,RMSD,O-Physico,Baseline,42,11.0,2.5011104298755527e-11,-1.5607539827441999,-2.735238095238095,-3.2340535714285705,-2.193089285714286
CASP-domain,rmsd,RMSD,O-Physico,jackhmmer,42,347.5,0.28204041302691085,-0.06256148889082296,-0.027857142857142813,-0.15215476190476182,0.11214285714285721
CASP-domain,rmsd,RMSD,N-Physico,ESMFold,42,354.5,0.3246999153605713,-0.16172108320610473,-0.20785714285714282,-0.594565476190476,0.17881547619047605
CASP-domain,rmsd,RMSD,N-Physico,Baseline,42,36.0,2.2637323127128184e-09,-1.3444119088801836,-2.5690476190476192,-3.1162142857142863,-1.9756845238095242
CASP-domain,rmsd,RMSD,N-Physico,jackhmmer,42,305.5,0.06786387762788396,0.2594043502375759,0.13833333333333334,-0.005244047619047638,0.3092857142857143
CASP-domain,rmsd,RMSD,ESMFold,Baseline,42,20.0,1.687112671788782e-10,-1.4276485140999846,-2.361190476190476,-2.8402619047619044,-1.8559345238095242
CASP-domain,rmsd,RMSD,ESMFold,jackhmmer,42,293.0,0.07478603895619527,0.2847344085984147,0.34619047619047616,-0.011208333333333249,0.7184107142857132
CASP-domain,rmsd,RMSD,Baseline,jackhmmer,42,21.0,2.0327206584624946e-10,1.4639170745838321,2.7073809523809524,2.1385595238095236,3.240517857142857
CASP-domain,tm_score_chain1_norm,TM-score,O-Physico,N-Physico,42,299.0,0.05679805691488582,0.19172931453902198,0.0070580952380952374,-0.004029529761904752,0.017808791666666646
CASP-domain,tm_score_chain1_norm,TM-score,O-Physico,ESMFold,42,218.0,0.0029078367165311647,0.3929310482420585,0.052765714285714284,0.013039559523809542,0.09283835119047613
CASP-domain,tm_score_chain1_norm,TM-score,O-Physico,Baseline,42,17.0,9.413270163349807e-11,1.6545186800094909,0.40665071428571437,0.3297731309523809,0.47516101785714276
CASP-domain,tm_score_chain1_norm,TM-score,O-Physico,jackhmmer,42,446.0,0.950679077238874,0.013360416645404126,0.0005340476190476113,-0.011479505952380951,0.01248017261904761
CASP-domain,tm_score_chain1_norm,TM-score,N-Physico,ESMFold,42,243.0,0.008318320859871164,0.32709523031169585,0.045707619047619046,0.004390220238095239,0.0877720535714285
CASP-domain,tm_score_chain1_norm,TM-score,N-Physico,Baseline,42,17.0,9.413270163349807e-11,1.6013082434749977,0.3995926190476191,0.32200744047619045,0.4690071904761905
CASP-domain,tm_score_chain1_norm,TM-score,N-Physico,jackhmmer,42,337.0,0.15549738123854695,-0.14244268365924773,-0.006524047619047626,-0.020179601190476192,0.007025779761904747
CASP-domain,tm_score_chain1_norm,TM-score,ESMFold,Baseline,42,7.0,8.640199666842818e-12,1.5789694253264706,0.353885,0.28567059523809524,0.42021575595238086
CASP-domain,tm_score_chain1_norm,TM-score,ESMFold,jackhmmer,42,195.0,0.0009789995297069254,-0.38066534777255745,-0.052231666666666676,-0.09393522619047617,-0.011642535714285729
CASP-domain,tm_score_chain1_norm,TM-score,Baseline,jackhmmer,42,17.0,9.413270163349807e-11,-1.6624728545235938,-0.4061166666666666,-0.47419505952380947,-0.33047315476190475
CASP-domain,Maxsub,MaxSub,O-Physico,N-Physico,42,258.0,0.025393473668601372,0.21330117538166551,0.007099999999999997,-0.003473928571428573,0.01671732142857141
CASP-domain,Maxsub,MaxSub,O-Physico,ESMFold,42,226.0,0.008049549318613713,0.24896783106211784,0.02955476190476191,-0.005620595238095228,0.06456839285714283
CASP-domain,Maxsub,MaxSub,O-Physico,Baseline,42,26.0,4.861249180976301e-10,1.1324135582382227,0.29570238095238094,0.21682505952380954,0.3753233333333333
CASP-domain,Maxsub,MaxSub,O-Physico,jackhmmer,42,406.0,0.5773308297893891,-0.08163393419795086,-0.004792857142857147,-0.024509583333333335,0.009681369047619029
CASP-domain,Maxsub,MaxSub,N-Physico,ESMFold,42,297.5,0.054156459533213776,0.17718718117925267,0.022454761904761904,-0.015390773809523792,0.06057833333333331
CASP-domain,Maxsub,MaxSub,N-Physico,Baseline,42,26.0,1.0356160520851286e-07,1.1046721205028898,0.28860238095238094,0.2090945833333333,0.36749535714285714
CASP-domain,Maxsub,MaxSub,N-Physico,jackhmmer,42,295.5,0.08021611083168001,-0.1952087206832432,-0.011892857142857144,-0.033042976190476164,0.0024172619047618913
CASP-domain,Maxsub,MaxSub,ESMFold,Baseline,42,9.0,1.5006662579253316e-11,1.1164390888761027,0.2661476190476191,0.19516809523809528,0.33975619047619043
CASP-domain,Maxsub,MaxSub,ESMFold,jackhmmer,42,208.5,0.004017481424169365,-0.2884475615706447,-0.03434761904761905,-0.07103880952380953,9.083333333332357e-05
CASP-domain,Maxsub,MaxSub,Baseline,jackhmmer,42,27.0,5.734364094678313e-10,-1.1022747283565208,-0.3004952380952381,-0.383653511904762,-0.22016136904761913
CASP-domain,GDT_TS,GDT-TS,O-Physico,N-Physico,42,291.5,0.07166353473444738,0.2698449690645621,0.006852380952380958,-0.0003191666666666633,0.014797738095238091
CASP-domain,GDT_TS,GDT-TS,O-Physico,ESMFold,42,250.0,0.01933627373730222,0.28796697988608133,0.03180714285714286,-0.00012071428571428187,0.0659073214285714
CASP-domain,GDT_TS,GDT-TS,O-Physico,Baseline,42,25.0,4.1109160520136356e-10,1.1429409649408466,0.28729047619047626,0.21097279761904766,0.3635194642857143
CASP-domain,GDT_TS,GDT-TS,O-Physico,jackhmmer,42,378.5,0.3613554763221116,-0.04902171797871206,-0.0014571428571428537,-0.011114345238095243,0.00648345238095238
CASP-domain,GDT_TS,GDT-TS,N-Physico,ESMFold,42,279.0,0.031011575360040632,0.22209183499520913,0.0249547619047619,-0.007572916666666654,0.05938916666666665
CASP-domain,GDT_TS,GDT-TS,N-Physico,Baseline,42,23.0,1.288098763609539e-07,1.1281555298315673,0.28043809523809526,0.2051285714285715,0.3566044047619047
CASP-domain,GDT_TS,GDT-TS,N-Physico,jackhmmer,42,270.5,0.09538267464042291,-0.2155994939825274,-0.008309523809523812,-0.021438392857142857,0.0017023809523809494
CASP-domain,GDT_TS,GDT-TS,ESMFold,Baseline,42,4.0,3.183231456205249e-12,1.128207678496929,0.25548333333333334,0.18744107142857144,0.3259510119047619
CASP-domain,GDT_TS,GDT-TS,ESMFold,jackhmmer,42,198.5,0.004470979608232278,-0.2985354731384297,-0.03326428571428571,-0.06808309523809523,-0.0008856547619047963
CASP-domain,GDT_TS,GDT-TS,Baseline,jackhmmer,42,26.0,4.861249180976301e-10,-1.1281900146993724,-0.28874761904761903,-0.3667593452380952,-0.21320964285714308
CASP-domain,GDT_TA,GDT-HA,O-Physico,N-Physico,42,309.5,0.11688629664371154,0.33984144473290384,0.00865238095238095,0.0015285119047619073,0.01666244047619047
CASP-domain,GDT_TA,GDT-HA,O-Physico,ESMFold,42,248.0,0.010108644360116159,0.2710622163016698,0.02491666666666666,-0.0022577976190476232,0.052790892857142856
CASP-domain,GDT_TA,GDT-HA,O-Physico,Baseline,42,20.0,1.687112671788782e-10,1.115569379050382,0.2501404761904762,0.18210821428571433,0.31926089285714293
CASP-domain,GDT_TA,GDT-HA,O-Physico,jackhmmer,42,362.0,0.3747153137708922,-0.06058994272338744,-0.00180952380952382,-0.011272023809523824,0.006188214285714273
CASP-domain,GDT_TA,GDT-HA,N-Physico,ESMFold,42,269.5,0.03694787554934938,0.17923824060463855,0.01626428571428571,-0.010712261904761907,0.04336571428571426
CASP-domain,GDT_TA,GDT-HA,N-Physico,Baseline,42,20.0,1.687112671788782e-10,1.100231103813809,0.2414880952380952,0.17518571428571428,0.308288869047619
CASP-domain,GDT_TA,GDT-HA,N-Physico,jackhmmer,42,262.0,0.046656864590185546,-0.2624760918123514,-0.01046190476190477,-0.024104761904761914,-0.0002735714285714434
CASP-domain,GDT_TA,GDT-HA,ESMFold,Baseline,42,9.0,1.5006662579253316e-11,1.1205522936333705,0.2252238095238095,0.16534589285714288,0.2878823214285714
CASP-domain,GDT_TA,GDT-HA,ESMFold,jackhmmer,42,210.0,0.0025305500215946205,-0.29374903328709684,-0.026726190476190483,-0.0546660119047619,-1.9583333333360523e-05
CASP-domain,GDT_TA,GDT-HA,Baseline,jackhmmer,42,20.0,1.687112671788782e-10,-1.1073211465399295,-0.25195,-0.3210368452380953,-0.18417738095238098
